platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,2006,220,M:\Bering_Glacier\063018\images\2006\LT5063018_2006_220_archv.bsq,M:\Bering_Glacier\063018\images\2006\LT5063018_2006_220_tc.bsq,M:\Bering_Glacier\063018\images\2006\LT5063018_2006_220_cloudmask.bsq
TM,2006,268,M:\Bering_Glacier\063018\images\2006\LT5063018_2006_268_archv.bsq,M:\Bering_Glacier\063018\images\2006\LT5063018_2006_268_tc.bsq,M:\Bering_Glacier\063018\images\2006\LT5063018_2006_268_cloudmask.bsq
TM,2007,87,M:\Bering_Glacier\063018\images\2007\LE7063018_2007_087_archv.bsq,M:\Bering_Glacier\063018\images\2007\LE7063018_2007_087_tc.bsq,M:\Bering_Glacier\063018\images\2007\LE7063018_2007_087_cloudmask.bsq
TM,2007,111,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_111_archv.bsq,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_111_tc.bsq,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_111_cloudmask.bsq
TM,2007,223,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_223_archv.bsq,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_223_tc.bsq,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_223_cloudmask.bsq
TM,2007,239,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_239_archv.bsq,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_239_tc.bsq,M:\Bering_Glacier\063018\images\2007\LT5063018_2007_239_cloudmask.bsq
TM,2008,74,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_074_archv.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_074_tc.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_074_cloudmask.bsq
TM,2008,90,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_090_archv.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_090_tc.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_090_cloudmask.bsq
TM,2008,202,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_202_archv.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_202_tc.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_202_cloudmask.bsq
TM,2008,250,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_250_archv.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_250_tc.bsq,M:\Bering_Glacier\063018\images\2008\LE7063018_2008_250_cloudmask.bsq
TM,2008,98,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_098_archv.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_098_tc.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_098_cloudmask.bsq
